Ax,Ay,Az,Gx,Gy,Gz
0.5206404803602703,0.5275275275275274,0.752002002002002,0.5019080175105081,0.4952386765962642,0.499694786961299
0.7660745559169378,0.5843343343343342,0.555055055055055,0.5149711355669114,0.6378185116068158,0.5784397509461604
0.7783337503127348,0.8245745745745745,0.0065065065065065,1.0,0.229061513507857,0.0
0.7773329997498126,0.5635635635635634,0.72997997997998,0.496093273104627,0.4846172628494689,1.0
0.6462346760070055,0.6984484484484483,0.8185685685685685,0.5508641889181506,0.5351605420583567,1.0
0.5051288466349764,0.518018018018018,0.8303303303303302,0.3043741388632122,1.0,0.0945236060484503
0.4718538904178135,0.5225225225225224,0.7677677677677677,0.6054816261750702,0.0275598653574481,0.8772433158344525
0.3567675756817614,0.5427927927927927,0.7232232232232232,0.6993041142717618,0.4864188918150583,0.4060711233583898
0.4533400050037529,0.7767767767767766,0.6448948948948948,0.0,0.1864555173797025,0.5360447878333362
0.451088316237178,0.4949949949949949,0.7124624624624624,0.2709977850253763,0.4681811046967926,0.4974362104749115
0.2021516137102827,0.5808308308308308,0.5928428428428428,0.5663829638802169,1.0,0.2369063606397265
0.388541406054541,0.592092092092092,0.7622622622622621,0.4434588485620105,0.491194167814849,0.4353558784031254
0.3440080060045035,0.5332832832832832,0.8826326326326326,0.3918168024137991,1.0,0.1088075762596578
0.359769827370528,0.4757257257257256,0.6586586586586586,0.6436175593421352,0.4331740411950399,0.5033416467551494
0.5203902927195397,0.5275275275275274,0.7517517517517517,0.5018923208399463,0.4952997192040044,0.4997261803024225
1.0000000000000002,1.0,0.0,0.0,1.0,0.5338629506252507
0.6467350512884665,0.4176676676676676,0.7582582582582582,0.4972530826516909,0.4553778537419118,0.786244484364372
0.536902677007756,0.4552052052052051,0.7622622622622621,0.6923156077227619,0.5904354954043637,0.5025637895250885
0.5208906680010009,0.5275275275275274,0.7532532532532532,0.5017702356244659,0.4951462406474005,0.4997401328984774
0.9689767325494124,0.939189189189189,0.0,0.00956799274465,1.0,0.0539616652423391
0.6282211658744059,0.5232732732732732,0.587087087087087,0.4641522925859392,0.0,0.952920452761742
0.4811108331248437,0.7745245245245245,0.6966966966966966,0.000992378394405,0.4615588537942341,0.5650871165216178
0.8991743807855894,0.601101101101101,0.7394894894894894,0.5224479829778328,0.5195022411357413,0.0
0.6052039029271955,0.5508008008008007,0.7632632632632632,0.4766660271726808,0.5163594188743743,1.0
0.307730798098574,0.5545545545545545,0.6076076076076076,0.3008476202103354,1.0,0.2740359628163315
0.5198899174380787,0.528028028028028,0.7522522522522521,0.5018312782322061,0.495254373266826,0.4997401328984774
0.4821115836877659,0.8000500500500499,0.6398898898898899,1.0,0.7475277743865218,0.4755672602333571
0.4951213410057544,0.6826826826826826,0.6861861861861861,1.0,0.8356419066222509,0.4445890088424578
0.6997748311233427,0.6826826826826826,0.7407407407407407,0.5323979280394858,0.4651289743097825,1.0
0.5201401050788093,0.5275275275275274,0.7522522522522521,0.5018155815616443,0.4952840225334426,0.4997261803024225
0.5206404803602703,0.5272772772772771,0.7525025025025025,0.5018766241693845,0.4951933306590858,0.4996651376946823
0.5173880410307732,0.4997497497497496,0.752002002002002,0.7093151019411549,0.5640633447860892,0.5275912586985716
0.7305479109332,0.6256256256256255,0.591091091091091,0.4700734255367389,0.375213213108464,0.6691804593892251
1.0000000000000002,0.8506006006006004,1.0,0.9799169820534732,0.0132758951462407,0.6919336554057589
0.5399049286965225,0.5723223223223222,0.7212212212212212,0.4574376057345169,0.5540541011912029,0.4602455656905663
0.5203902927195397,0.5277777777777777,0.7527527527527527,0.5019219701065629,0.4951462406474005,0.4997558295690392
0.4911183387540657,0.6829329329329328,0.7712712712712713,1.0,0.7439716064670283,0.4996023510124353
0.5486614961220917,0.5918418418418417,0.606106106106106,0.0,0.3095924097877461,0.5892756858572998
0.4688516387290469,0.7117117117117115,0.4456956956956956,0.8517588991401712,0.6744144269843207,0.5619425501857439
0.5203902927195397,0.5275275275275274,0.7525025025025025,0.5019080175105081,0.4951322880513455,0.4997401328984774
0.5724293219914938,0.4459459459459459,0.6976976976976976,0.0522228229589967,0.3892844062298341,0.4632227008737813
0.2586940205153866,0.6536536536536536,0.7317317317317317,0.6040619495264837,0.4811535308788391,0.9970385614873468
0.5206404803602703,0.5277777777777777,0.7525025025025025,0.5018766241693845,0.4952683258628809,0.4997558295690392
0.2101576182136603,0.5127627627627627,0.7134634634634633,0.6212306189720425,0.5590578509513926,0.5311474266180651
0.4050537903427572,0.5638138138138137,0.7707707707707707,0.5163594188743743,0.4865863229677172,0.0
0.1035776832624469,0.7527527527527527,1.0,1.0,1.0,0.0
0.3805354015511635,0.6006006006006005,0.694944944944945,0.5015714111306835,0.7808413415421107,0.3919092383626629
0.3087315486614962,0.9166666666666664,0.0,0.865172576172454,0.7475888169942619,0.0
0.0,1.0,0.0,0.0034951253117533,0.0,0.0
0.3997998498874157,0.5768268268268267,0.7722722722722721,0.5148647470219928,0.5014650225857649,0.2425222805518251
0.5143857893420066,0.6243743743743743,0.7254754754754754,1.0,0.6086401451069989,0.5134136770322828
0.5344008006004505,0.7052052052052051,0.477977977977978,0.0,0.1995325880321607,0.5999877914784519
0.5744308231173382,0.614114114114114,0.7119619619619619,0.0,0.4857927690670945,0.4613757259710135
1.0000000000000002,1.0,0.0,0.9878071751225213,0.0,0.749268360744371
0.5491618714035528,0.9977477477477475,0.6546546546546546,1.0,1.0,0.0
